Date,Open,High,Low,Close,Adj Close,Volume
2019-12-03,22845.000000,22987.000000,22581.000000,22737.000000,22737.000000,367761300
2019-12-04,22737.000000,23036.000000,22733.000000,23034.000000,23034.000000,324496600
2019-12-05,23049.000000,23191.000000,22946.000000,22969.000000,22969.000000,298652300
2019-12-06,23055.000000,23220.000000,22940.000000,23183.000000,23183.000000,294138000
2019-12-09,23215.000000,23233.000000,22856.000000,22957.000000,22957.000000,302722800
2019-12-10,22936.000000,23141.000000,22790.000000,23123.000000,23123.000000,298165100
2019-12-11,23101.000000,23203.000000,23038.000000,23156.000000,23156.000000,283415000
2019-12-12,23229.000000,23488.000000,23161.000000,23391.000000,23391.000000,413347000
2019-12-13,23714.000000,23728.000000,23272.000000,23329.000000,23329.000000,478941300
2019-12-16,23436.000000,23550.000000,23388.000000,23525.000000,23525.000000,276509700
2019-12-17,23536.000000,23717.000000,23482.000000,23631.000000,23631.000000,343983200
2019-12-18,23646.000000,23738.000000,23627.000000,23629.000000,23629.000000,311229600
2019-12-19,23647.000000,23710.000000,23583.000000,23709.000000,23709.000000,374666200
2019-12-20,23842.000000,24004.000000,23837.000000,24004.000000,24004.000000,793556100
2019-12-23,23919.000000,23941.000000,23845.000000,23898.000000,23898.000000,229767000
2019-12-27,23868.000000,23899.000000,23732.000000,23758.000000,23758.000000,274188700
2019-12-30,23712.000000,23736.000000,23506.000000,23506.000000,23506.000000,212207400
2020-01-02,23607.000000,23862.000000,23572.000000,23836.000000,23836.000000,264537200
2020-01-03,23710.000000,23760.000000,23517.000000,23702.000000,23702.000000,325924900
2020-01-06,23566.000000,23608.000000,23265.000000,23581.000000,23581.000000,349155800
2020-01-07,23688.000000,23794.000000,23636.000000,23723.000000,23723.000000,306340300
2020-01-08,23551.000000,23893.000000,23481.000000,23832.000000,23832.000000,472506700
2020-01-09,23980.000000,24078.000000,23964.000000,24017.000000,24017.000000,430637300
2020-01-10,24061.000000,24147.000000,23966.000000,24021.000000,24021.000000,326014300
2020-01-13,24061.000000,24061.000000,23829.000000,23897.000000,23897.000000,340838600
2020-01-14,23932.000000,23948.000000,23706.000000,23928.000000,23928.000000,350706400
2020-01-15,23903.000000,23932.000000,23719.000000,23764.000000,23764.000000,341178900
2020-01-16,23862.000000,23961.000000,23760.000000,23940.000000,23940.000000,361875400
2020-01-17,24043.000000,24169.000000,24011.000000,24141.000000,24141.000000,319934800
2020-01-20,24033.000000,24085.000000,23973.000000,24002.000000,24002.000000,218203400
2020-01-21,23858.000000,23860.000000,23645.000000,23845.000000,23845.000000,332896600
2020-01-22,23888.000000,23907.000000,23680.000000,23706.000000,23706.000000,424389000
2020-01-23,23716.000000,23901.000000,23611.000000,23707.000000,23707.000000,379431100
2020-01-24,23848.000000,24083.000000,23848.000000,23969.000000,23969.000000,368587000
2020-01-27,23713.000000,23978.000000,23384.000000,23416.000000,23416.000000,506925600
2020-01-28,23545.000000,24028.000000,23429.000000,24028.000000,24028.000000,428294600
2020-01-29,24053.000000,24198.000000,23969.000000,24165.000000,24165.000000,356515300
2020-01-30,23892.000000,23983.000000,23688.000000,23781.000000,23781.000000,454729400
2020-01-31,23863.000000,23873.000000,23208.000000,23237.000000,23237.000000,557656600
2020-02-03,23297.000000,23466.000000,23219.000000,23460.000000,23460.000000,363184200
