Date,Open,High,Low,Close,Adj Close,Volume
1/3/2018,2111.23999,2152.969971,2111.23999,2152.969971,2152.969971,0
1/4/2018,2153.870117,2197.600098,2153.870117,2197.600098,2197.600098,0
1/5/2018,2196.689941,2207.409912,2188.350098,2207.409912,2207.409912,0
1/9/2018,2211.399902,2242.870117,2211.399902,2225.389893,2225.389893,0
1/10/2018,2227.330078,2233.629883,2213.77002,2232.27002,2232.27002,0
1/11/2018,2232.189941,2246.820068,2221.610107,2246.449951,2246.449951,0
1/12/2018,2245.699951,2262.379883,2234.419922,2262.379883,2262.379883,0
1/15/2018,2268.01001,2280.169922,2259.659912,2261.530029,2261.530029,0
1/16/2018,2262.090088,2265.639893,2232.919922,2257.889893,2257.889893,0
1/17/2018,2250.709961,2277.889893,2231.699951,2277.889893,2277.889893,0
1/18/2018,2279.340088,2299.639893,2279.340088,2297.469971,2297.469971,0
1/19/2018,2298.070068,2306.790039,2273.23999,2286.330078,2286.330078,0
1/22/2018,2286.040039,2308.610107,2285.320068,2308.610107,2308.610107,0
1/24/2018,2297.689941,2306.98999,2283.199951,2306.98999,2306.98999,0
1/25/2018,2311.560059,2328.47998,2307.620117,2320.030029,2320.030029,0
1/26/2018,2317.149902,2317.149902,2281.709961,2295.26001,2295.26001,0
1/29/2018,2295.340088,2303.48999,2280.919922,2284.27002,2284.27002,0
1/30/2018,2276.370117,2301.97998,2264.159912,2280.360107,2280.360107,0
1/31/2018,2278.830078,2295.879883,2266.949951,2289.98999,2289.98999,0
2/1/2018,2292.219971,2313.209961,2288.310059,2302.570068,2302.570068,0
2/2/2018,2303.060059,2309.600098,2272.840088,2281.840088,2281.840088,0
2/5/2018,2272.669922,2281.969971,2255.429932,2276.850098,2276.850098,0
2/6/2018,2233.310059,2258.790039,2222.850098,2238.23999,2238.23999,0
2/7/2018,2247.98999,2267.350098,2247.98999,2254.639893,2254.639893,0
2/8/2018,2248.97998,2259.399902,2227.23999,2227.23999,2227.23999,0
2/9/2018,2209.669922,2217.889893,2181.959961,2197.120117,2197.120117,0
2/12/2018,2208.97998,2229.810059,2206.280029,2220.120117,2220.120117,0
2/13/2018,2225.709961,2250.629883,2220.689941,2250.629883,2250.629883,0
2/14/2018,2252.949951,2259.060059,2232.959961,2257.949951,2257.949951,0
2/15/2018,2267.820068,2280.27002,2265.449951,2265.449951,2265.449951,0
2/16/2018,2266.419922,2283.649902,2248.300049,2255.27002,2255.27002,0
2/19/2018,2255.370117,2266.889893,2251.179932,2254.919922,2254.919922,0
2/20/2018,2256.01001,2271.370117,2254.919922,2270.120117,2270.120117,0
2/21/2018,2268.27002,2320.320068,2265.850098,2320.320068,2320.320068,0
2/22/2018,2316.090088,2336.820068,2307.280029,2336.820068,2336.820068,0
2/26/2018,2353.889893,2376.959961,2346.72998,2353.159912,2353.159912,0
2/27/2018,2356.75,2357.100098,2333.379883,2341.889893,2341.889893,0
2/28/2018,2338.26001,2338.26001,2296.800049,2296.800049,2296.800049,0
3/1/2018,2286.409912,2306.51001,2281.219971,2297.899902,2297.899902,0
3/2/2018,2295.149902,2301.77002,2263.77002,2288.840088,2288.840088,0
3/5/2018,2291.899902,2317.01001,2291.899902,2309.530029,2309.530029,0
3/6/2018,2312.600098,2325.159912,2302.110107,2303.320068,2303.320068,0
3/7/2018,2299.379883,2299.379883,2269.899902,2291.22998,2291.22998,0
3/9/2018,2290.77002,2311.689941,2286.22998,2311.689941,2311.689941,0
3/12/2018,2317.189941,2326.409912,2309.600098,2318.01001,2318.01001,0
3/13/2018,2315.23999,2326.060059,2305.25,2319.379883,2319.379883,0
