"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2020-09",99.44561,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2020-10",99.83053,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2020-11",100.2437,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2020-12",100.6123,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2017-12",100.7481,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2018-01",100.8713,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2018-02",100.9468,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2018-03",100.9851,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2018-04",100.9814,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2018-05",100.9464,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2018-06",100.899,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2018-07",100.8667,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2018-08",100.8468,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2018-09",100.8324,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2018-10",100.8303,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2018-11",100.8122,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2018-12",100.782,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-01",100.7205,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-02",100.6161,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-03",100.4788,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-04",100.3146,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-05",100.1471,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.99741,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.87754,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-08",99.79073,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.73984,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-10",99.73235,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.75636,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.78429,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.78942,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-02",99.7619,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-03",93.4098,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-04",95.68785,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-05",97.13663,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-06",98.05612,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-07",98.56924,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-08",99.11772,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-09",99.30888,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-10",99.5946,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2020-11",99.94915,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2017-12",101.3373,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2018-01",101.4475,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2018-02",101.534,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2018-03",101.5802,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2018-04",101.6016,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2018-05",101.6038,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2018-06",101.5771,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2018-07",101.5363,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2018-08",101.5103,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2018-09",101.5074,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2018-10",101.4928,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2018-11",101.4303,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2018-12",101.3005,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-01",101.0962,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-02",100.8616,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-03",100.6157,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-04",100.3482,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-05",100.0567,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.76404,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.49075,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-08",99.28058,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.15929,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-10",99.11494,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.11532,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.09575,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.03407,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-02",98.91782,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-03",97.92195,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-04",88.46527,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-05",89.99859,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-06",93.2807,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-07",93.55692,
"SVK","CLI","AMPLITUD","LTRENDIDX","M","2020-08",95.59357,
